baseline,language,taskset,execution,chunk_size,nrow,time
FlatBufCPP,CPP,false,Total,1000000,7000000,176144
FlatBufCPP,CPP,true,Total,1000000,7000000,181052
FlatBufCPP,CPP,true,IO,1000000,7000000,150244
JsonRust,Rust,false,IO,1000000,7000000,265594
JsonRust,Rust,false,Total,1000000,7000000,336517
JsonRust,Rust,true,Total,1000000,7000000,340136
JsonRust,Rust,true,IO,1000000,7000000,259222
BincodeRust,Rust,false,IO,1000000,7000000,80480
BincodeRust,Rust,false,Total,1000000,7000000,155252
BincodeRust,Rust,true,Total,1000000,7000000,155978
BincodeRust,Rust,true,IO,1000000,7000000,113725
MessagePackRust,Rust,false,IO,1000000,7000000,59405
MessagePackRust,Rust,false,Total,1000000,7000000,171397
MessagePackRust,Rust,true,Total,1000000,7000000,169034
MessagePackRust,Rust,true,IO,1000000,7000000,64812
BsonRust,Rust,false,IO,1000000,7000000,246174
BsonRust,Rust,false,Total,1000000,7000000,1224146
BsonRust,Rust,true,Total,1000000,7000000,1239413
BsonRust,Rust,true,IO,1000000,7000000,238808
FlexBufRust,Rust,false,IO,1000000,7000000,233491
FlexBufRust,Rust,false,Total,1000000,7000000,520852
FlexBufRust,Rust,true,Total,1000000,7000000,524277
FlexBufRust,Rust,true,IO,1000000,7000000,232497
DefaultJava,Java,false,Total,1000000,7000000,1583157
DefaultJava,Java,false,IO,1000000,7000000,275922
